"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","X_24","X_25","X_26","X_27","X_28","X_29","X_30","X_31","target"
1.19,-2.21,-0.07,0.6,0.83,0.43,0.21,2.95,-1.22,1.51,0.67,-2.78,-1.0,0.38,0.15,-0.69,1.28,1.3,-0.34,-2.11,-0.3,4.21,-2.3,1.63,-2.07,0.58,0.2,0.35,-0.1,-1.55,0.85,0.41,9
-0.69,2.6,-0.32,-0.06,-3.95,1.26,0.53,-0.05,-0.39,2.42,-0.81,0.74,-1.88,-1.27,-0.67,1.99,1.72,-2.63,0.09,0.7,-1.47,-3.65,1.35,-0.3,-1.7,-0.13,0.28,-0.34,-0.14,-0.85,-0.89,1.46,3
0.41,-4.65,-1.15,-1.0,2.42,-1.93,-1.37,-1.13,-2.75,2.53,-0.49,9.02,-1.06,-1.47,-1.9,4.91,6.09,-1.0,-0.04,-0.64,-1.31,3.32,0.39,-0.23,-5.29,-3.4,-1.35,3.12,-0.06,-3.07,2.03,0.02,9
-2.06,0.86,-0.88,-1.43,2.27,0.1,0.73,-1.43,3.3,0.72,1.95,2.76,-0.5,1.87,-4.29,6.44,-0.33,4.51,1.49,-0.02,-1.46,-3.16,2.69,-0.1,1.98,-3.19,-0.22,0.78,0.1,-2.58,-0.3,-2.92,2
1.27,-1.46,1.06,1.94,1.31,-0.6,0.53,-0.01,-1.38,1.43,2.19,1.59,-0.27,-2.4,0.59,6.32,3.84,0.74,0.69,-0.45,-0.99,-0.17,-0.62,1.19,-1.89,0.54,0.89,3.62,0.41,1.95,0.32,-1.09,15
0.61,-3.76,-0.24,-0.89,-2.2,1.39,0.21,-3.29,-0.56,-1.83,0.44,11.82,0.59,1.21,-4.77,-0.38,4.16,-4.13,-0.6,-0.55,-0.3,1.01,-0.41,1.33,2.19,2.08,-0.69,0.87,0.15,-0.91,-0.77,-0.58,5
1.03,-0.54,0.18,-0.26,18.62,0.98,1.85,2.52,3.77,-7.37,-0.12,9.14,-0.37,-3.22,-2.85,0.81,3.05,3.09,2.67,-0.09,1.31,3.4,-1.22,0.22,0.78,-5.92,-0.58,3.74,0.47,2.15,1.06,-2.73,7
-0.66,-3.46,-0.89,1.43,-1.46,1.31,-0.57,-6.34,2.23,1.12,-0.6,1.99,-0.74,-1.2,3.47,-0.09,-3.72,-2.13,1.7,0.0,0.87,2.57,-1.21,-1.42,3.96,-2.2,-0.05,0.53,0.44,-2.57,0.83,-0.03,9
-0.41,-3.45,1.17,-1.41,-5.38,0.32,-0.82,-0.55,-2.48,0.55,-0.58,3.19,0.09,1.31,-1.47,3.45,-1.18,-0.98,-1.58,0.16,0.57,-1.41,2.16,-0.63,-1.29,3.01,2.09,-0.05,0.75,1.64,0.51,2.47,9
0.73,-3.15,0.12,-2.55,-7.1,0.56,0.87,0.21,-0.18,-1.36,0.69,0.56,-1.72,2.87,-0.57,-0.51,-0.64,-4.3,0.94,-0.12,-1.42,-2.19,1.43,0.83,-2.32,3.08,-0.43,0.3,0.55,-0.94,0.9,-2.73,10
1.67,-1.26,-0.81,-0.26,-1.49,-0.53,-0.2,0.81,1.58,2.3,0.22,-2.14,0.69,0.71,1.21,1.82,-1.59,0.51,-3.28,-2.08,0.62,-2.51,1.88,0.32,-4.46,3.58,-0.01,0.74,-0.62,-2.34,0.97,-1.87,0
-0.22,-2.31,-1.0,-0.74,-0.57,-0.12,-1.3,1.22,-5.61,-3.99,0.88,1.12,-0.99,4.92,-0.74,-1.97,0.3,1.3,-0.96,-0.55,1.23,-0.44,0.29,-0.9,0.13,-0.79,1.12,-2.51,1.26,0.1,1.68,1.5,12
1.97,1.85,-0.38,0.16,4.33,-1.25,-1.02,-0.54,2.72,-0.33,-0.9,-1.92,-0.16,2.6,0.87,-0.96,0.09,1.19,-2.92,1.13,1.65,-0.34,1.85,0.68,0.74,-3.14,-0.87,-3.06,0.4,-0.36,2.03,-1.18,2
0.33,-2.46,0.77,-0.2,-1.58,0.22,-1.38,3.94,-0.9,-5.69,-0.38,-1.47,-1.29,1.85,-2.03,-1.53,-2.62,-3.62,-0.38,0.22,-0.56,-2.0,-0.44,-1.04,4.52,1.97,1.83,-2.16,0.09,1.65,1.06,-1.01,10
0.91,3.29,-0.86,-0.75,-2.31,0.29,0.21,2.51,0.67,1.8,-1.6,-8.97,-0.42,-3.26,2.27,2.16,-4.44,-1.24,-1.29,0.37,0.33,-2.62,-0.43,-0.77,2.22,0.76,-0.81,0.63,0.44,0.18,-1.43,-1.9,11
1.0,-0.29,0.46,-0.11,-10.1,0.15,-0.14,-2.96,-0.86,2.92,1.2,-2.34,-1.46,2.04,0.64,2.32,-0.53,-3.28,1.09,1.12,-0.17,1.52,0.79,1.39,-1.68,-0.79,-0.21,-0.02,-0.1,1.29,0.12,-2.02,12
-1.42,-0.24,-1.27,-3.75,6.31,-0.59,-0.87,0.97,0.89,1.04,1.14,1.73,-0.96,-1.46,-1.76,2.51,2.02,3.26,-2.63,0.23,0.03,0.49,1.71,1.7,-0.63,1.22,1.97,3.08,-0.76,2.44,-0.34,-2.5,0
-1.17,3.12,2.2,-0.66,-12.61,0.71,0.09,-3.5,-1.36,3.34,0.22,-4.58,0.38,1.17,1.79,1.92,-2.2,-2.09,-1.45,0.26,2.01,0.51,0.24,0.53,0.65,3.49,-0.65,0.53,-0.15,-0.21,-0.42,-1.74,1
1.65,0.67,-0.51,-1.47,-3.98,-0.14,1.23,-3.1,2.01,0.14,-0.88,0.52,-0.17,-1.06,-2.46,-0.88,1.08,-0.7,1.19,0.12,0.97,0.82,2.28,-1.78,4.58,1.71,-0.11,-3.73,-0.22,1.01,0.74,0.0,11
-0.35,1.5,-1.24,-0.62,-8.18,2.62,-0.51,0.86,-8.58,1.54,-0.09,-5.19,-0.73,0.2,0.93,0.18,2.86,0.02,3.36,0.45,-1.51,-0.22,0.22,-0.63,1.55,-1.81,0.27,-0.97,-0.16,-6.86,-0.25,0.64,5
-0.28,2.3,-0.21,-0.48,-2.37,-1.29,1.09,0.14,-0.09,2.77,-0.94,-2.59,0.69,0.18,-4.21,1.72,0.25,3.11,-2.48,1.12,1.19,0.19,-0.39,0.39,0.36,1.04,1.02,-1.16,-0.23,0.77,2.51,-3.2,0
-0.94,2.7,0.59,-0.77,-6.92,0.15,0.45,3.02,2.72,-1.53,1.18,-6.77,0.47,-2.53,0.26,-0.59,-0.47,-4.35,3.04,0.72,1.07,0.91,-0.54,-1.32,-1.77,2.02,-1.45,-3.07,0.95,-0.37,0.78,-2.1,1
