"Name_John Brown","Name_John Jones","Name_John Smith","Name_John Taylor","Name_John Williams","Name_William Smith","Name_infrequent_sklearn","Short description_American baseball player","Short description_American politician","Short description_Canadian politician","Short description_French politician","Short description_politician","Short description_nan","Short description_infrequent_sklearn","Gender_Eunuch; Male","Gender_Female","Gender_Male","Gender_Transgender Female","Gender_Transgender Male","Gender_nan","Gender_infrequent_sklearn","Country_France","Country_Germany","Country_Sweden","Country_United Kingdom; United Kingdom of Great Britain and Ireland","Country_United States of America","Country_nan","Country_infrequent_sklearn","Occupation_Artist","Occupation_Athlete","Occupation_Military personnel","Occupation_Politician","Occupation_Researcher","Occupation_nan","Occupation_infrequent_sklearn","Birth year","Death year","Manner of death_accident","Manner of death_capital punishment","Manner of death_homicide","Manner of death_natural causes","Manner of death_suicide","Manner of death_nan","Manner of death_infrequent_sklearn","Age of death","target"
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1931,2007.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,76.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1887,1944.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,57.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1923,1969.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1841,1910.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0,69.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1919,2012.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,93.0,93.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1618,1669.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,51.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1926,2017.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91.0,91.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1936,2007.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,71.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1884,1906.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1900,1972.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0,72.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1921,2011.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,90.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1798,1846.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,48.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1830,1896.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,66.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1905,1987.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,82.0,82.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1939,2020.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,81.0,81.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1866,1926.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,60.0
