"Sex_F","Sex_I","Sex_M","Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","target"
0.0,1.0,0.0,0.375,0.2849999964237213,0.09000000357627869,0.25699999928474426,0.10450000315904617,0.06199999898672104,0.07500000298023224,"7"
0.0,1.0,0.0,0.46000000834465027,0.3499999940395355,0.10999999940395355,0.4000000059604645,0.17599999904632568,0.08299999684095383,0.12049999833106995,"7"
0.0,1.0,0.0,0.32499998807907104,0.24500000476837158,0.07000000029802322,0.16099999845027924,0.0754999965429306,0.025499999523162842,0.04500000178813934,"6"
0.0,0.0,1.0,0.6399999856948853,0.4950000047683716,0.16500000655651093,1.3070000410079956,0.6779999732971191,0.2919999957084656,0.26600000262260437,"11"
0.0,0.0,1.0,0.5600000023841858,0.41499999165534973,0.14499999582767487,0.8519999980926514,0.4300000071525574,0.18850000202655792,0.20499999821186066,"8"
0.0,1.0,0.0,0.44999998807907104,0.36000001430511475,0.125,0.44999998807907104,0.19099999964237213,0.08649999648332596,0.14499999582767487,"12"
1.0,0.0,0.0,0.5699999928474426,0.4699999988079071,0.14000000059604645,0.8709999918937683,0.38499999046325684,0.210999995470047,0.23149999976158142,"10"
0.0,0.0,1.0,0.7099999785423279,0.5699999928474426,0.19499999284744263,1.3480000495910645,0.8985000252723694,0.44350001215934753,0.45350000262260437,"11"
0.0,1.0,0.0,0.550000011920929,0.44999998807907104,0.14000000059604645,0.753000020980835,0.34450000524520874,0.13249999284744263,0.23999999463558197,"8"
0.0,1.0,0.0,0.23000000417232513,0.18000000715255737,0.05000000074505806,0.06400000303983688,0.0215000007301569,0.013500000350177288,0.019999999552965164,"5"
0.0,0.0,1.0,0.4950000047683716,0.38499999046325684,0.13500000536441803,0.6334999799728394,0.20000000298023224,0.12250000238418579,0.25999999046325684,"14"
0.0,0.0,1.0,0.699999988079071,0.5299999713897705,0.1899999976158142,1.31850004196167,0.5479999780654907,0.2329999953508377,0.41999998688697815,"18"
1.0,0.0,0.0,0.6050000190734863,0.48500001430511475,0.16500000655651093,0.9514999985694885,0.45350000262260437,0.19300000369548798,0.27649998664855957,"11"
0.0,1.0,0.0,0.33500000834465027,0.25,0.07500000298023224,0.1860000044107437,0.09449999779462814,0.03799999877810478,0.04450000077486038,"7"
0.0,1.0,0.0,0.5799999833106995,0.46000000834465027,0.14000000059604645,0.9265000224113464,0.41350001096725464,0.18449999392032623,0.27000001072883606,"10"
0.0,0.0,1.0,0.6100000143051147,0.4699999988079071,0.17000000178813934,1.118499994277954,0.5224999785423279,0.24050000309944153,0.3100000023841858,"9"
